stop_id,stop_name,stop_lat,stop_lon,stop_code,stop_desc,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_direction,stop_timezone,vehicle_type,platform_code,level_id,mta_stop_id,regional_fare_card,tts_stop_name
5081,"Zitelle ""B""",45.426720,12.337905,5081,,1,,,,,,,,,,,,
5082,Redentore,45.425579,12.332047,5082,,1,,,,,,,,,,,,
5083,S. Basilio,45.430534,12.320824,5083,,1,,,,,,,,,,,,
5084,"Guglie ""A""",45.444294,12.324450,5084,,1,,,,,,,,,,,,
5085,Tre Archi,45.446289,12.319780,5085,,1,,,,,,,,,,,,
5086,"F.te Nove ""A""",45.443958,12.339143,5086,,1,,,,,,,,,,,,
5087,"F.te Nove ""D""",45.442867,12.341126,5087,,1,,,,,,,,,,,,
5088,"Ferrovia ""C""",45.440372,12.321408,5088,,1,,,,,,,,,,,,
5089,"Ferrovia ""D""",45.440216,12.321242,5089,,1,,,,,,,,,,,,
5090,Vignole,45.443707,12.376256,5090,,1,,,,,,,,,,,,
5091,S. Erasmo Capannone,45.454636,12.388567,5091,,1,,,,,,,,,,,,
5092,S. Erasmo Chiesa,45.459461,12.410089,5092,,1,,,,,,,,,,,,
5093,S. Erasmo Punta Vela,45.468380,12.420210,5093,,1,,,,,,,,,,,,
5094,"Lido S.M.E. ""A""",45.418144,12.368973,5094,,1,,,,,,,,,,,,
5095,"Murano Faro ""B""",45.452557,12.354241,5095,,1,,,,,,,,,,,,
5096,"Murano Faro ""A""",45.452663,12.354642,5096,,1,,,,,,,,,,,,
5097,Torcello,45.495090,12.412183,5097,,1,,,,,,,,,,,,
5099,Lido S. Nicolo' Ferry,45.425873,12.378331,5099,,1,,,,,,,,,,,,
5101,Mazzorbo,45.488094,12.409512,5101,,1,,,,,,,,,,,,
5102,S. Maria del Mare Ferry,45.332737,12.316975,5102,,1,,,,,,,,,,,,
5103,Alberoni Faro Rocchetta,45.341526,12.308979,5103,,1,,,,,,,,,,,,
5104,"P.le Roma ""B""",45.438900,12.316018,5104,,1,,,,,,,,,,,,
5108,"Punta Sabbioni ""A""",45.447338,12.424333,5108,,1,,,,,,,,,,,,
5109,Punta Sabbioni Ferry,45.446976,12.424375,5109,,1,,,,,,,,,,,,
5112,"P.le Roma ""C""",45.438629,12.315650,5112,,1,,,,,,,,,,,,
5113,"Burano ""C""",45.487572,12.416754,5113,,1,,,,,,,,,,,,
